country,continent,risk_cluster,cluster_reason,cases,deaths,tests,recovered,cases_per_100k,deaths_per_100k,tests_per_100k,recovery_rate,death_rate
Benin,Africa,Moderate Risk,low testing per 100k,28036,163.0,604310.0,27847.0,219.29292813940637,1.2749588845314321,4726.812291479692,99.3258667427593,0.5813953488372093
Kiribati,Oceania,Moderate Risk,"low recovery rate, low testing per 100k",5085,24.0,0.0,2703.0,4120.111166027921,19.445952406031484,0.0,53.15634218289086,0.471976401179941
Dominica,North-America,Moderate Risk,mixed values without severe extremes,16038,74.0,229344.0,15964.0,22169.08105717129,102.28906336392791,317018.68848833354,99.53859583489213,0.46140416510786886
Vietnam,Asia,Moderate Risk,mixed values without severe extremes,11625195,43206.0,85826548.0,10640971.0,11748.13440986412,43.662914498431135,86734.18569225329,91.53369900461885,0.37165828186107847
Mongolia,Asia,Moderate Risk,mixed values without severe extremes,1011496,2284.0,4030048.0,1009212.0,29942.943887026886,67.61241155473616,119300.0280040899,99.77419584457081,0.22580415542918608
Oceania,Oceania,Moderate Risk,mixed values without severe extremes,14895771,33015.0,0.0,14752388.0,,,,99.03742478318175,0.22164008831768428
Qatar,Asia,Moderate Risk,mixed values without severe extremes,514524,690.0,4065369.0,513687.0,17266.398538213336,23.155022878169344,136425.66985971076,99.83732537257737,0.1341045315670406
Vanuatu,Oceania,Moderate Risk,low testing per 100k,12019,14.0,24976.0,11976.0,3734.5571602575255,4.350095702105446,7760.570732556116,99.64223313087611,0.11648223645894001
Marshall-Islands,Oceania,Moderate Risk,low testing per 100k,16138,17.0,0.0,16121.0,26871.139084536357,28.306442213230763,0.0,99.89465856983517,0.10534143016482836
Tonga,Oceania,Moderate Risk,mixed values without severe extremes,16950,13.0,535009.0,15638.0,15731.004464078553,12.065077170089745,496532.68243788806,92.25958702064896,0.07669616519174041
Burundi,Africa,Moderate Risk,low testing per 100k,54721,38.0,345742.0,53569.0,433.43915645663634,0.30099391358623157,2738.5852018718656,97.8947753147786,0.06944317538056688
Bhutan,Asia,Moderate Risk,mixed values without severe extremes,62697,21.0,2303734.0,61564.0,7957.067851526954,2.665174169131953,292373.92139766813,98.19289599183374,0.03349442557060146
DPRK,Asia,Moderate Risk,low testing per 100k,4772813,74.0,0.0,4772739.0,18363.55641189674,0.28471745582329727,0.0,99.99844955165852,0.0015504483414707426
Vatican-City,Europe,Moderate Risk,low testing per 100k,29,0.0,0.0,29.0,3629.536921151439,0.0,0.0,100.0,0.0
MS-Zaandam,Unknown,Low Risk,high death rate,9,2.0,0.0,7.0,,,,77.77777777777779,22.22222222222222
Yemen,Asia,Low Risk,"high death rate, low testing per 100k",11945,2159.0,329592.0,9124.0,38.34071896374971,6.929896378630023,1057.9149639765756,76.38342402678944,18.07450816241105
Western-Sahara,Africa,Low Risk,"high death rate, low testing per 100k",10,1.0,0.0,9.0,1.5970333508474657,0.15970333508474657,0.0,90.0,10.0
